npdes_id,frs_id,city,state,zip,watershed_huc12,latitude,longitude,facility_type,major_minor_facility,cso_outfall_count,median_household_income,poverty_rate,white_alone
OH0094528,110008611760,MALTA,OH,43758,50400040808,39.649419,-81.861847,POTW,N,9,29219,28,73.3
OH0026352,110000562203,MARION,OH,43302-9576,50600010303,40.589722,-83.183889,POTW,M,3,38221,20.4,84.5
OH0026263,110006700098,MCCOMB,OH,45858,41000100101,41.11256,-83.79399,POTW,N,2,61250,3.7,89.3
OH0021466,110009642985,MCCONNELSVILLE,OH,43756-1264,50400040808,39.651193,-81.859039,POTW,N,11,29922,18.4,87.1
OH0058408,110008631347,METAMORA,OH,43540,41000010304,41.713231,-83.899439,POTW,N,4,52500,11.7,92.6
OH0026514,110009647052,MIDDLEPORT,OH,45760,50302020805,38.995331,-82.058506,POTW,N,13,31442,28.2,93.8
OH0026522,110000540834,MIDDLETOWN,OH,45044-7433,50800020706,39.4815,-84.4272,POTW,M,8,40347,25.2,81.9
OH0020451,110006700374,MILFORD,OH,45150,50902021305,39.16685,-84.28464,POTW,M,2,51385,9.9,94.6
OH0026565,110009655131,MINGO JUNCTION,OH,43938,50301011005,40.310413,-80.614997,POTW,N,6,54706,9.2,93.3
OH0021831,110006700203,MONTPELIER,OH,43543,41000030304,41.58706,-84.61115,POTW,N,3,54489,18.8,93
OH0020893,110015651034,"NAPOLEON",OH,43545,41000090206,41.394735,-84.11585,POTW,M,3,46509,16.3,90
OH0020613,110006276715,NEW BOSTON,OH,45662,50901030606,38.75259,-82.93508,POTW,N,2,22332,36.4,94.4
OH0026671,110000735376,NEWARK,OH,43055,50400060409,40.05073,-82.397,POTW,M,24,45039,18.3,91.8
OH0022110,110008581472,NEWTON FALLS,OH,44444-1459,50301030306,41.19234,-80.96664,POTW,M,25,41534,13.1,97.4
OH0020117,110012138677,NORTH BALTIMORE,OH,45872,41000100103,41.182733,-83.665936,POTW,N,2,56250,15.2,94.4
OH0052604,110002345622,NORWALK,OH,44857-8996,41000120605,41.2649,-82.61336,POTW,M,4,45752,16.9,94.9
OH0026841,110006285144,OAK HARBOR,OH,43449,41000100502,41.50758,-83.13689,POTW,N,9,43922,14.6,92.6
OH0021148,110006216068,PANDORA,OH,45877,41000080405,40.9464,-83.9583,POTW,N,7,61000,5,97.3
OH0020338,110010126791,PAULDING,OH,45879,41000071206,41.15783,-84.5492,POTW,N,2,42461,12.4,91.5
OH0021326,110009823174,PAYNE,OH,45880,41000071205,41.0854,-84.6996,POTW,N,2,44052,13.7,94.8
OH0021008,110000760588,PERRYSBURG,OH,43551,41000090903,41.56178,-83.63062,POTW,M,4,90633,3.8,90.3
OH0021725,110006700258,POMEROY,OH,45769,50302020805,39.0302,-82.0255,POTW,N,13,32857,34.8,92.3
OH0052876,110002345631,PORT CLINTON,OH,43452-1024,41000100502,41.51516,-82.94488,POTW,M,1,42045,17.7,91.1
OH0027197,110000552401,PORTSMOUTH,OH,45662,50901030606,38.730833,-82.974444,POTW,M,10,28840,36.5,88.5
OH0027332,110002321087,SANDUSKY,OH,44870-2149,41000110102,41.45135,-82.72492,POTW,M,15,38380,21.3,67.2
OH0027481,110000761364,SPRINGFIELD,OH,45506-1710,50800011805,39.9161,-83.84472,POTW,M,58,39332,23.1,74.9
OH0027511,110000735438,STEUBENVILLE,OH,43952,50301011109,40.3606,-80.6107,POTW,M,16,38600,24.6,78.8
OH0020524,110011017746,SWANTON,OH,43558,41000090701,41.519,-84.3049,POTW,N,9,64552,9.5,97.2
OH0052949,110000555952,TIFFIN,OH,44883-1124,41000111103,41.136944,-83.164722,POTW,M,30,41996,13.6,92
OH0027740,110000556577,TOLEDO,OH,43611-3042,41000010309,41.69289,-83.4828,POTW,M,33,37752,25.5,62.6
OH0020214,110013397476,TORONTO,OH,43964-1974,50301011106,40.449919,-80.608475,POTW,N,7,39858,19.5,96.3
OH0020001,110002320952,UPPER SANDUSKY,OH,43351-1394,41000110702,40.818957,-83.278928,POTW,M,1,46774,8.1,97.2
OH0027910,110006645176,VAN WERT,OH,45891,41000070803,40.888194,-84.594889,POTW,M,6,44318,18.3,95.3
OH0027952,110002464173,WAPAKONETA,OH,45895,41000070105,40.570472,-84.212194,POTW,M,3,57512,13.5,94.6
OH0023400,110009823575,WAUSEON,OH,43567,41000090402,41.544342,-84.125212,POTW,M,4,54774,8,87
OH0028118,110000735447,WILLARD,OH,44890,41000120404,41.067431,-82.586132,POTW,M,3,41696,15.8,91.4
OH0028177,110006211107,WOODSFIELD,OH,43793,50302010103,39.759445,-81.100763,POTW,N,5,30769,29.4,96.7
OH0020591,110020794461,WOODVILLE,OH,43469,41000100401,41.44903,-83.35957,POTW,N,17,67083,6.7,97.8
OH0028185,110000735456,WOOSTER,OH,44691-4617,50400030602,40.78581,-81.94932,POTW,M,3,47944,14.3,90
OH0028223,110000576494,YOUNGSTOWN,OH,44502-2026,50301030807,41.0917,-80.64189,POTW,M,101,28822,35.2,49.1
OH0028240,110000754657,ZANESVILLE,OH,43701-5953,50400040802,39.912776,-82.004166,POTW,M,19,30345,30.1,83.9
OR0027561,110006618179,ASTORIA,OR,97103-4524,170800060500,46.18837,-123.83181,POTW,M,38,48813,11.4,89.9
OR0026361,110016653450,CORVALLIS,OR,97330-6219,170900030609,44.5742,-123.2533,POTW,M,4,52942,25.6,81.6
OR0026905,110000576895,PORTLAND,OR,97203-2098,170900120201,45.5975,-122.719,POTW,M,42,71005,13.7,77.4
PA0024686,110010977979,ALLENPORT,PA,15412,50200050802,40.1,-79.844722,POTW,N,8,44922,11.1,100
PA0027014,110007751389,ALTOONA,PA,16602,20503020502,40.5258,-78.38416,POTW,M,1,41403,23.4,92.7
PAG066121,110017794065,ARNOLD,PA,15068-4498,50100090304,40.579206,-79.768054,NON-POTW,N,2,29487,30.7,64.6
PA0023558,110000735633,ASHLAND,PA,17921,20503010501,40.774256,-76.272447,POTW,M,9,37457,19.1,94.5
PAG066113,110010995414,ASPINWALL,PA,15215-3095,50100090308,40.49019,-79.90441,NON-POTW,N,3,84375,2.7,87.9
PA0022209,110017878652,BEDFORD,PA,15522,20503030104,40.0177,-78.485377,POTW,M,2,49844,12.5,93.5
PA0092355,110010216783,BELLE VERNON,PA,15012,50200050802,40.122017,-79.862269,POTW,N,16,28500,15.5,88.8
PA0023248,110006646852,BERWICK,PA,18603,20501071002,41.039422,-76.267817,POTW,M,4,40227,22.7,96
PA0026042,110000575155,BETHLEHEM,PA,18015-9528,20401060811,40.613667,-75.334934,POTW,M,3,55809,15.4,76.9
PA0021610,110010266194,BLAIRSVILLE,PA,15717-1120,50100071008,40.43984,-79.29107,POTW,N,16,45956,12.6,93.2
PAG066102,110010995922,BRADDOCK,PA,15104-1694,50200050808,40.40356,-79.86828,NON-POTW,N,9,21972,36.7,22.5
PA0020397,110010978601,BRIDGEPORT,PA,19405,20402031007,40.102331,-75.325461,POTW,N,6,62941,15.6,89.9
PAG066129,110010995557,BRIDGEVILLE,PA,15017-1599,50301010104,40.32507,-80.108111,NON-POTW,N,1,47917,10.5,92.4
PA0022306,110001059737,BROWNSVILLE,PA,154170000,50200050506,40.019519,-79.882547,POTW,N,4,31202,33.1,83.5
PA0038920,110010974856,BURNHAM,PA,17009,20503040702,40.640833,-77.558333,POTW,N,3,50846,7.6,98.6
PA0024341,110010977871,CANTON,PA,177240237,20501060301,41.651464,-76.846625,POTW,N,1,41083,19.8,98.5
PAG066126,110010995539,CARNEGIE,PA,15106,50301010107,40.411736,-80.090055,NON-POTW,N,1,52612,15.3,84.4
